inventoryId,source,tag,label,command,tooltip,initialWebStatus,hostApiNeeded,webTarget,notes
"xaml:MainWindow.xaml:4010:1096","MainWindow.xaml:4010","RadioButton","Audio","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4047:1112","MainWindow.xaml:4047","Button","Connect","{Binding ConnectQuickDeviceCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4052:1113","MainWindow.xaml:4052","Button","Scan for new device","{Binding ScanCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4083:1122","MainWindow.xaml:4083","Button","Connect","{Binding DataContext.ConnectToSavedDeviceCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4088:1123","MainWindow.xaml:4088","Button","Set default","{Binding DataContext.SetDefaultSavedDeviceCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4102:1125","MainWindow.xaml:4102","Button","Forget","{Binding DataContext.ForgetDeviceCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4135:1134","MainWindow.xaml:4135","Button","Scan for devices","{Binding ScanCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4140:1135","MainWindow.xaml:4140","Button","Open Bluetooth Settings","{Binding OpenBtSettingsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4150:1137","MainWindow.xaml:4150","Button","Connect to selected device","{Binding ConnectCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4235:1158","MainWindow.xaml:4235","Button","Reset","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4258:1164","MainWindow.xaml:4258","ToggleButton","Sync theme with Shamash app | {Binding ThemeSyncLabel} | {Binding ThemeSyncRefreshStatus} | Refresh sync | History Background Fetching","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4288:1172","MainWindow.xaml:4288","Button","Refresh sync","{Binding RefreshThemeSyncCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4294:1173","MainWindow.xaml:4294","ToggleButton","History Background Fetching","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4309:1177","MainWindow.xaml:4309","ToggleButton","","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4346:1191","MainWindow.xaml:4346","Button","Open Auditor","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4381:1204","MainWindow.xaml:4381","Button","Import starter VCF","{Binding ImportStarterVcfCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4385:1205","MainWindow.xaml:4385","Button","Import synced contacts","{Binding ImportPendingContactsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4390:1206","MainWindow.xaml:4390","Button","Ignore pending","{Binding SkipPendingContactsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4395:1207","MainWindow.xaml:4395","Button","Open contact sync folder","{Binding OpenContactSyncFolderCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4412:1214","MainWindow.xaml:4412","Button","Save messages backup","{Binding ExportMessagesBackupCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4453:1226","MainWindow.xaml:4453","Button","Open Bluetooth Settings","{Binding OpenBtSettingsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4476:1234","MainWindow.xaml:4476","Button","Refresh","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4480:1235","MainWindow.xaml:4480","Button","Open Sound Settings","{Binding OpenSoundSettingsCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4627:1284","MainWindow.xaml:4627","Button","Open builds folder","{Binding OpenBuildsFolderCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4633:1285","MainWindow.xaml:4633","Button","Open event log","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:4639:1286","MainWindow.xaml:4639","Button","Run UI auditor","","","not-yet-reviewed","","",""
"xaml:Themes/Skins/Apple.xaml:177:85","Themes/Skins/Apple.xaml:177","ToggleButton","","","","not-yet-reviewed","","",""
"xaml:Themes/Skins/Material.xaml:184:89","Themes/Skins/Material.xaml:184","ToggleButton","","","","not-yet-reviewed","","",""
"xaml:Themes/Skins/Optimus.xaml:182:88","Themes/Skins/Optimus.xaml:182","ToggleButton","","","","not-yet-reviewed","","",""
