inventoryId,source,tag,label,command,tooltip,initialWebStatus,hostApiNeeded,webTarget,notes
"xaml:MainWindow.xaml:2670:741","MainWindow.xaml:2670","Button","&#xF10D; | {Binding PreviewBody} | {Binding TimestampDisplay} | You","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2826:780","MainWindow.xaml:2826","Button","&#xE625;","","Message this number","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2831:781","MainWindow.xaml:2831","Button","&#xE0B0;","","Call this number","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2836:782","MainWindow.xaml:2836","Button","&#xE14B;","{Binding DataContext.ToggleCallRecordBlockedCommand, RelativeSource={RelativeSource AncestorType=Window}}","Block / unblock locally","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2841:783","MainWindow.xaml:2841","Button","&#xE872;","{Binding DataContext.DeleteCallRecordCommand, RelativeSource={RelativeSource AncestorType=Window}}","Delete call entry","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2871:788","MainWindow.xaml:2871","Button","&#xE5CD;","{Binding CloseConversationDialerPaneCommand}","Hide keypad","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2893:791","MainWindow.xaml:2893","Button","&#xE14A;","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2931:800","MainWindow.xaml:2931","Button","Text","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2938:801","MainWindow.xaml:2938","Button","Call","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2952:803","MainWindow.xaml:2952","Button","1","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2953:804","MainWindow.xaml:2953","Button","2","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2954:805","MainWindow.xaml:2954","Button","3","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2955:806","MainWindow.xaml:2955","Button","4","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2956:807","MainWindow.xaml:2956","Button","5","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2957:808","MainWindow.xaml:2957","Button","6","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2958:809","MainWindow.xaml:2958","Button","7","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2959:810","MainWindow.xaml:2959","Button","8","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2960:811","MainWindow.xaml:2960","Button","9","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2961:812","MainWindow.xaml:2961","Button","*","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2962:813","MainWindow.xaml:2962","Button","0","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2963:814","MainWindow.xaml:2963","Button","#","{Binding DialPadCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2966:815","MainWindow.xaml:2966","Button","&#xE0D2; | Voicemail","{Binding DialVoicemailCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2992:822","MainWindow.xaml:2992","Button","&#xE0B0; | Call","{Binding DialCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:3036:829","MainWindow.xaml:3036","Button","Cancel","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:3069:838","MainWindow.xaml:3069","Button","{Binding DisplayName} | {Binding FormattedPhone}","{Binding DataContext.PickComposeContactCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:3092:847","MainWindow.xaml:3092","Button","Save as contact","{Binding SaveAsContactCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:3098:848","MainWindow.xaml:3098","Button","Edit contact","{Binding EditContactCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:3124:853","MainWindow.xaml:3124","Button","&#xE226;","{Binding AddComposeAttachmentCommand}","Attach pictures, files, or contact cards. DeskPhone will send them as MMS when the phone accepts Bluetooth MAP media sending.","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:3136:855","MainWindow.xaml:3136","Button","Send Message","{Binding SendMessageCommand}","","not-yet-reviewed","","",""
